Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,ResultSpeed,ResultDir,AvgSpeed
1,5/1/2009,60,46,53,0,40,47,12,0,RA,0,M,0,0.02,29.26,8.4,29,8.5
2,5/1/2009,62,48,55,M,42,48,10,0,RA,M,M,M,0.04,29.33,8.1,29,8.6
1,5/2/2009,66,44,55,1,33,45,10,0, ,0,M,0,0,29.21,8.8,26,9.2
2,5/2/2009,65,45,55,M,34,46,10,0, ,M,M,M,0,29.28,9.2,27,9.5
1,5/3/2009,70,43,57,3,34,47,8,0, ,0,M,0,0,29.19,3.9,26,4.9
2,5/3/2009,70,45,58,M,35,48,7,0, ,M,M,M,0,29.26,4.7,26,4.8
1,5/4/2009,70,43,57,3,34,47,8,0, ,0,M,0,0,29.31,6.5,9,7.6
2,5/4/2009,70,49,60,M,36,48,5,0, ,M,M,M,0,29.37,7.1,9,8.4
1,5/5/2009,71,49,60,5,40,50,5,0, ,0,M,0,0,29.22,5.5,13,6
2,5/5/2009,70,54,62,M,41,51,3,0, ,M,M,M,0,29.28,5.1,12,5.9
1,5/6/2009,75,51,63,8,51,55,2,0,RA BR,0,M,0,0.67,29.05,6.5,19,8.1
2,5/6/2009,75,56,66,M,51,56,0,1,RA BR,M,M,M,0.86,29.13,6.2,19,7.2
1,5/7/2009,77,56,67,12,52,57,0,2,RA BR HZ,0,M,0,0.19,29.01,8.5,25,10.3
2,5/7/2009,77,56,67,M,53,58,0,2,RA BR HZ,M,M,M,0.03,29.08,8.2,24,9.2
1,5/8/2009,77,53,65,9,53,58,0,0,TSRA RA,0,M,0,0.02,28.94,4.9,21,6
2,5/8/2009,74,57,66,M,55,59,0,1,BR HZ,M,M,M,0.01,29,4.4,20,6.1
1,5/9/2009,63,46,55,-1,44,48,10,0, ,0,M,0,0,29.19,6.8,29,11.8
2,5/9/2009,64,45,55,M,44,49,10,0, ,M,M,M,0,29.26,4.7,28,11.3
1,5/10/2009,67,40,54,-2,39,46,11,0, ,0,M,0,0,29.41,4.7,30,8.4
2,5/10/2009,67,43,55,M,40,47,10,0,RA,M,M,M,0.02,29.47,5.1,30,9
1,5/11/2009,61,39,50,-7,35,44,15,0, ,0,M,0,0,29.47,0.7,8,4.6
2,5/11/2009,61,40,51,M,34,44,14,0, ,M,M,M,0,29.53,2.1,7,4.5
1,5/12/2009,71,39,55,-2,34,47,10,0, ,0,M,0,0,29.38,9.5,16,9.6
2,5/12/2009,72,44,58,M,32,47,7,0, ,M,M,M,0,29.44,8.9,16,9.5
1,5/13/2009,70,53,62,4,56,58,3,0,TSRA RA BR,0,M,0,0.55,29.01,14.4,19,16.4
2,5/13/2009,71,54,63,M,58,60,2,0,TSRA RA DZ BR,M,M,M,1.03,29.08,12.9,18,14.8
1,5/14/2009,68,53,61,3,44,52,4,0, ,0,M,0,0,29.31,10.5,27,10.7
2,5/14/2009,69,55,62,M,44,53,3,0, ,M,M,M,0,29.38,11.1,27,11.3
1,5/15/2009,61,52,57,-1,51,54,8,0,RA BR,0,M,0,0.39,29.28,6,16,8.8
2,5/15/2009,63,55,59,M,52,55,6,0,TSRA RA BR,M,M,M,0.7,29.34,4.4,15,5.8
1,5/16/2009,62,45,54,-5,40,49,11,0,BR,0,M,0,0,29.36,11,29,12.5
2,5/16/2009,62,47,55,M,41,50,10,0,DZ BR,M,M,M,0.04,29.41,11,30,12.4
1,5/17/2009,63,39,51,-8,27,42,14,0, ,0,M,0,0,29.6,0.2,33,6.2
2,5/17/2009,59,41,50,M,28,42,15,0, ,M,M,M,0,29.67,3.3,9,6.5
1,5/18/2009,66,40,53,-7,33,45,12,0, ,0,M,0,0,29.54,9.6,19,9.9
2,5/18/2009,67,45,56,M,30,45,9,0, ,M,M,M,0,29.62,9.3,19,9.5
1,5/19/2009,80,52,66,6,44,55,0,1, ,0,M,0,0,29.48,13.5,21,13.8
2,5/19/2009,80,54,67,M,43,54,0,2, ,M,M,M,0,29.55,12.3,21,12.4
1,5/20/2009,84,61,73,12,44,57,0,8, ,0,M,0,0,29.4,14.4,20,14.6
2,5/20/2009,85,61,73,M,43,57,0,8, ,M,M,M,0,29.47,11.9,20,12.1
1,5/21/2009,84,60,72,11,49,59,0,7, ,0,M,0,0,29.38,7.8,23,12.8
2,5/21/2009,85,60,73,M,48,59,0,8, ,M,M,M,0,29.44,8.1,25,10.9
1,5/22/2009,69,53,61,0,46,53,4,0, ,0,M,0,0,29.46,10.4,4,10.7
2,5/22/2009,70,56,63,M,47,54,2,0, ,M,M,M,0,29.5,10,3,10.6
1,5/23/2009,80,50,65,4,50,57,0,0, ,0,M,0,0,29.33,4.5,7,5.7
2,5/23/2009,79,55,67,M,51,58,0,2, ,M,M,M,0,29.39,4.5,8,5.5
1,5/24/2009,71,55,63,1,46,53,2,0, ,0,M,0,0,29.34,10.4,4,11
2,5/24/2009,70,56,63,M,47,54,2,0, ,M,M,M,0,29.39,10.7,3,10.8
1,5/25/2009,67,54,61,-1,43,51,4,0,RA DZ,0,M,0,0.04,29.28,10.3,6,10.8
2,5/25/2009,64,56,60,M,46,53,5,0,RA DZ,M,M,M,0.08,29.33,8.7,6,9.5
1,5/26/2009,74,53,64,2,51,55,1,0,TSRA RA BR,0,M,0,1.73,29.08,7.5,5,7.8
2,5/26/2009,76,56,66,M,54,58,0,1,TSRA RA BR,M,M,M,1.38,29.13,5.7,6,6.8
1,5/27/2009,73,55,64,2,58,60,1,0,DZ BR HZ,0,M,0,0.02,28.95,3.6,24,7.2
2,5/27/2009,75,58,67,M,60,63,0,2,DZ BR HZ,M,M,M,0,29.02,6.8,24,8.3
1,5/28/2009,62,54,58,-5,51,54,7,0, ,0,M,0,0,29.06,6.8,30,8.1
2,5/28/2009,64,55,60,M,51,54,5,0, ,M,M,M,0,29.11,6.8,29,8.3
1,5/29/2009,74,50,62,-2,49,55,3,0, ,0,M,0,0,29.17,2.7,32,6.9
2,5/29/2009,77,55,66,M,49,55,0,1, ,M,M,M,0,29.23,2,31,6.8
1,5/30/2009,79,50,65,1,46,54,0,0,RA,0,M,0,0,29.09,2.9,27,6.8
2,5/30/2009,79,53,66,M,46,55,0,1, ,M,M,M,0,29.15,1.8,29,6.6
1,5/31/2009,73,45,59,-5,41,50,6,0, ,0,M,0,0,29.21,2.7,10,4.6
2,5/31/2009,72,49,61,M,43,52,4,0, ,M,M,M,0,29.26,2.9,9,6.3
1,6/1/2009,78,51,65,1,53,57,0,0,TSRA RA,0,M,0,0.44,29.19,1.2,34,11.1
2,6/1/2009,80,52,66,M,54,58,0,1,TSRA RA,M,M,M,0.83,29.25,1,34,10
1,6/2/2009,60,48,54,-10,46,50,11,0,RA BR,0,M,0,0.12,29.36,7.4,3,8
2,6/2/2009,61,50,56,M,47,51,9,0,RA BR,M,M,M,0.06,29.42,8.3,3,9.2
1,6/3/2009,61,43,52,-12,39,46,13,0, ,0,M,0,0,29.42,10.5,4,10.7
2,6/3/2009,61,47,54,M,40,48,11,0, ,M,M,M,0,29.47,11,2,11.4
1,6/4/2009,68,42,55,-9,37,48,10,0, ,0,M,0,0,29.31,4.7,4,5.9
2,6/4/2009,68,47,58,M,38,49,7,0, ,M,M,M,0,29.36,5.2,5,6.4
1,6/5/2009,79,44,62,-3,44,54,3,0, ,0,M,0,0,29.18,5.8,26,6.7
2,6/5/2009,80,47,64,M,43,54,1,0, ,M,M,M,0,29.23,6.3,25,7.2
1,6/6/2009,63,51,57,-9,45,50,8,0, ,0,M,0,0.02,29.2,6.2,5,7.7
2,6/6/2009,66,55,61,M,48,53,4,0,RA,M,M,M,0,29.26,4.7,3,7.2
1,6/7/2009,73,52,63,-3,53,57,2,0,BR,0,M,0,0.04,29.14,2.7,8,6.9
2,6/7/2009,74,56,65,M,54,59,0,0,RA BR,M,M,M,0,29.21,1.5,11,7.7
1,6/8/2009,80,52,66,0,60,63,0,1,TSRA RA BR,0,M,0,0.45,29.06,5.9,24,9.2
2,6/8/2009,82,55,69,M,61,65,0,4,TSRA RA BR HZ,M,M,M,0.3,29.11,6.4,25,10
1,6/9/2009,67,55,61,-5,53,56,4,0,DZ BR,0,M,0,0,29.23,4,6,6.3
2,6/9/2009,67,56,62,M,53,56,3,0,DZ BR HZ,M,M,M,0,29.29,6.4,8,7.9
1,6/10/2009,67,54,61,-6,49,53,4,0,RA,0,M,0,0.01,29.15,8,5,8.7
2,6/10/2009,67,55,61,M,50,55,4,0,RA,M,M,M,0.04,29.21,8.5,4,9.2
1,6/11/2009,64,53,59,-8,51,54,6,0,RA HZ,0,M,0,0.01,29.11,10.2,3,10.3
2,6/11/2009,60,53,57,M,53,54,8,0,RA BR HZ,M,M,M,1.14,29.17,8.8,1,9
1,6/12/2009,74,49,62,-6,49,55,3,0,RA,0,M,0,0,29.24,4.4,7,5.8
2,6/12/2009,72,50,61,M,49,55,4,0, ,M,M,M,0,29.3,5,6,6.7
1,6/13/2009,68,54,61,-7,51,55,4,0,RA BR,0,M,0,0.33,29.28,5.9,5,6.7
2,6/13/2009,66,56,61,M,52,55,4,0,RA,M,M,M,0.31,29.34,7.2,4,7.6
1,6/14/2009,77,51,64,-4,48,57,1,0, ,0,M,0,0,29.29,4.5,4,4.7
2,6/14/2009,76,54,65,M,50,57,0,0, ,M,M,M,0,29.34,5.1,5,5.8
1,6/15/2009,81,53,67,-1,49,58,0,2, ,0,M,0,0,29.28,5.5,9,6.4
2,6/15/2009,81,57,69,M,49,58,0,4,HZ,M,M,M,0,29.34,7.4,9,7.7
1,6/16/2009,71,59,65,-4,55,60,0,0,RA BR,0,M,0,1.23,29.15,11.2,10,11.8
2,6/16/2009,71,64,68,M,57,61,0,3,RA BR,M,M,M,1.07,29.21,10.3,11,10.7
1,6/17/2009,71,61,66,-3,59,62,0,1,BR HZ,0,M,0,0,29.16,3,36,6.2
2,6/17/2009,73,63,68,M,60,63,0,3,BR HZ,M,M,M,0,29.21,2.6,34,6.7
1,6/18/2009,80,61,71,1,63,67,0,6,RA BR,0,M,0,0.12,29.08,6.7,16,7.9
2,6/18/2009,81,63,72,M,64,67,0,7,TSRA BR HZ,M,M,M,0.11,29.15,3.7,17,5.8
1,6/19/2009,86,65,76,6,67,69,0,11,TS TSRA BR,0,M,0,3.97,28.97,7.2,18,11.6
2,6/19/2009,88,66,77,M,68,70,0,12,TS TSRA RA BR,M,M,M,0.87,29.03,6.3,18,10.5
1,6/20/2009,87,68,78,8,65,70,0,13, ,0,M,0,0,29.08,8.3,29,8.6
2,6/20/2009,88,69,79,M,65,70,0,14, ,M,M,M,0,29.13,8.3,28,8.6
1,6/21/2009,84,70,77,7,63,68,0,12, ,0,M,0,0.01,29.12,2.8,7,3.9
2,6/21/2009,86,71,79,M,64,69,0,14,RA,M,M,M,0,29.17,3.3,9,3.5
1,6/22/2009,89,68,79,9,67,71,0,14,TSRA RA,0,M,0,0.09,29.09,4,11,5.6
2,6/22/2009,89,70,80,M,67,71,0,15,TSRA,M,M,M,0.06,29.15,5.3,12,7.2
1,6/23/2009,94,71,83,13,69,73,0,18, ,0,M,0,0,29.16,1.8,14,3.5
2,6/23/2009,92,75,84,M,68,73,0,19, ,M,M,M,0,29.22,2.8,13,4.5
1,6/24/2009,94,75,85,14,68,73,0,20,TSRA,0,M,0,0.04,29.16,1.9,22,5.8
2,6/24/2009,93,73,83,M,68,73,0,18,BR,M,M,M,0.78,29.21,2.1,23,4.3
1,6/25/2009,94,75,85,14,69,73,0,20, ,0,M,0,0,29.08,2.4,32,4.9
2,6/25/2009,93,76,85,M,68,73,0,20, ,M,M,M,0,29.15,1.8,26,4.6
1,6/26/2009,86,69,78,7,60,M,0,13, ,0,M,0,0,M,6.4,4,8.2
2,6/26/2009,86,72,79,M,61,67,0,14, ,M,M,M,0,29.2,6.4,4,8
1,6/27/2009,89,62,76,5,61,67,0,11,TS RA,0,M,0,0.3,29.1,5.1,21,6.9
2,6/27/2009,90,67,79,M,60,67,0,14,RA,M,M,M,0.05,29.18,6,22,6.9
1,6/28/2009,83,66,75,4,53,62,0,10, ,0,M,0,0,29,13.2,29,13.6
2,6/28/2009,83,68,76,M,53,62,0,11, ,M,M,M,0,29.08,14.1,29,14.6
1,6/29/2009,77,63,70,-1,54,61,0,5, ,0,M,0,0,28.89,12.2,30,12.7
2,6/29/2009,78,65,72,M,54,61,0,7, ,M,M,M,0,28.95,13.4,30,14.1
1,6/30/2009,66,59,63,-9,53,57,2,0, ,0,M,0,0,28.95,8.9,30,9.1
2,6/30/2009,68,61,65,M,53,58,0,0, ,M,M,M,0,29,8.1,30,8.3
1,7/1/2009,65,57,61,-11,52,56,4,0,RA DZ,0,M,0,0,29.07,8.2,32,8.7
2,7/1/2009,65,57,61,M,54,57,4,0,RA DZ BR,M,M,M,0.02,29.13,6.6,31,7.4
1,7/2/2009,73,59,66,-6,54,60,0,1, ,0,M,0,0,29.26,8.4,31,8.8
2,7/2/2009,73,60,67,M,55,60,0,2, ,M,M,M,0,29.31,5.7,31,7.6
1,7/3/2009,79,63,71,-1,56,62,0,6, ,0,M,0,0,29.36,1.2,34,5.8
2,7/3/2009,79,62,71,M,56,62,0,6, ,M,M,M,0,29.41,1.8,2,6.5
1,7/4/2009,69,59,64,-8,58,61,1,0,RA BR FU,0,M,0,0.2,29.26,1.8,13,3.8
2,7/4/2009,69,63,66,M,58,62,0,1,RA BR,M,M,M,0.12,29.31,3.4,14,4.7
1,7/5/2009,81,57,69,-3,58,63,0,4,RA BR HZ,0,M,0,0.05,29.2,0.7,34,2.4
2,7/5/2009,82,61,72,M,59,64,0,7,BR HZ,M,M,M,0.03,29.25,0.3,36,2.6
1,7/6/2009,86,60,73,1,54,62,0,8, ,0,M,0,0,29.14,7.5,31,7.8
2,7/6/2009,85,63,74,M,54,63,0,9, ,M,M,M,0,29.2,4.2,30,5.5
1,7/7/2009,77,59,68,-4,54,60,0,3,RA,0,M,0,0,29.18,5.9,7,7
2,7/7/2009,76,65,71,M,55,61,0,6, ,M,M,M,0,29.24,5.9,7,7.5
1,7/8/2009,65,61,63,-10,56,59,2,0,RA,0,M,0,0.06,29.28,6.8,6,7
2,7/8/2009,68,62,65,M,55,59,0,0,RA,M,M,M,0.17,29.34,7,8,7.4
1,7/9/2009,79,59,69,-4,57,63,0,4, ,0,M,0,0,29.35,5.8,11,6.9
2,7/9/2009,80,63,72,M,58,64,0,7, ,M,M,M,0,29.41,6.5,10,7.3
1,7/10/2009,82,63,73,0,64,67,0,8,RA BR,0,M,0,0.08,29.34,4.4,21,4.9
2,7/10/2009,84,67,76,M,65,68,0,11,RA BR HZ,M,M,M,0.12,29.41,3.6,21,4.6
1,7/11/2009,85,63,74,1,59,65,0,9,TSRA BR HZ,0,M,0,0.25,29.34,4.8,31,7
2,7/11/2009,85,68,77,M,60,67,0,12,TSRA BR,M,M,M,1.12,29.39,5.9,29,7.6
1,7/12/2009,82,58,70,-3,51,60,0,5, ,0,M,0,0,29.35,2.9,29,5.7
2,7/12/2009,82,60,71,M,50,60,0,6, ,M,M,M,0,29.41,1.9,33,5.2
1,7/13/2009,79,61,70,-3,46,57,0,5, ,0,M,0,0,29.36,4.8,7,5.8
2,7/13/2009,78,66,72,M,48,59,0,7, ,M,M,M,0,29.41,5.8,7,7.4
1,7/14/2009,80,55,68,-5,51,59,0,3, ,0,M,0,0,29.34,6.7,16,7.5
2,7/14/2009,81,60,71,M,49,60,0,6, ,M,M,M,0,29.41,7.5,16,7.7
1,7/15/2009,85,65,75,1,62,67,0,10,BR,0,M,0,0.68,29.18,10,24,12.4
2,7/15/2009,86,67,77,M,62,67,0,12,TSRA RA BR,M,M,M,0.32,29.23,10,25,13.8
1,7/16/2009,80,64,72,-2,56,62,0,7, ,0,M,0,0,29.17,9.9,28,10.8
2,7/16/2009,82,65,74,M,57,63,0,9, ,M,M,M,0.17,29.23,9.6,28,10.3
1,7/17/2009,70,57,64,-10,51,56,1,0, ,0,M,0,0,29.15,10.6,30,10.8
2,7/17/2009,70,58,64,M,52,57,1,0,RA,M,M,M,0,29.21,10.1,29,10.4
1,7/18/2009,72,57,65,-9,52,57,0,0, ,0,M,0,0,29.31,8.1,31,8.2
2,7/18/2009,73,58,66,M,52,58,0,1, ,M,M,M,0,29.36,6.6,32,7.1
1,7/19/2009,71,57,64,-10,52,58,1,0, ,0,M,0,0,29.39,1.3,36,4
2,7/19/2009,73,60,67,M,53,59,0,2, ,M,M,M,0,29.45,1.4,4,4.6
1,7/20/2009,76,55,66,-8,55,60,0,1, ,0,M,0,0,29.36,5.1,9,5.5
2,7/20/2009,76,59,68,M,56,61,0,3, ,M,M,M,0,29.42,6.2,10,6.5
1,7/21/2009,80,58,69,-5,57,62,0,4,RA DZ,0,M,0,0.04,29.28,3.1,13,5.8
2,7/21/2009,82,64,73,M,56,63,0,8, ,M,M,M,0,29.33,4.9,14,6.3
1,7/22/2009,78,63,71,-3,61,64,0,6,BR HZ,0,M,0,0,29.23,3.5,3,5
2,7/22/2009,79,66,73,M,59,64,0,8,BR HZ,M,M,M,0,29.28,2.8,11,5.9
1,7/23/2009,82,62,72,-2,58,63,0,7,TS BR HZ,0,M,0,0,29.21,2.6,32,5
2,7/23/2009,79,63,71,M,60,64,0,6,BR HZ,M,M,M,0.1,29.26,1.7,1,6
1,7/24/2009,83,61,72,-2,59,64,0,7,TSRA RA,0,M,0,0.14,29.08,8.9,23,9.8
2,7/24/2009,83,62,73,M,60,65,0,8,TSRA RA,M,M,M,0.19,29.14,8.7,23,9.6
1,7/25/2009,81,66,74,0,58,64,0,9, ,0,M,0,0,29.02,10.6,28,11.1
2,7/25/2009,81,66,74,M,59,65,0,9, ,M,M,M,0,29.08,10.8,27,11.5
1,7/26/2009,82,63,73,-1,58,64,0,8,RA,0,M,0,0,29.13,8,29,8.6
2,7/26/2009,82,64,73,M,59,65,0,8, ,M,M,M,0,29.18,9.1,29,9.4
1,7/27/2009,84,64,74,0,61,66,0,9,RA,0,M,0,0.02,29.13,9.3,23,10.1
2,7/27/2009,84,66,75,M,61,67,0,10,RA,M,M,M,0.03,29.21,9.2,23,9.6
1,7/28/2009,84,66,75,1,60,66,0,10,RA,0,M,0,0.01,29.08,6.4,28,8
2,7/28/2009,86,68,77,M,62,67,0,12, ,M,M,M,0.01,29.13,6.5,28,7.7
1,7/29/2009,81,62,72,-2,51,59,0,7, ,0,M,0,0,29.13,4.2,35,7.1
2,7/29/2009,79,66,73,M,52,61,0,8, ,M,M,M,0,29.19,3.8,3,7.1
1,7/30/2009,79,59,69,-5,57,62,0,4, ,0,M,0,0,29.15,4.4,23,5.5
2,7/30/2009,80,65,73,M,57,63,0,8, ,M,M,M,0,29.2,4.9,24,6.3
1,7/31/2009,81,58,70,-4,54,61,0,5, ,0,M,0,0,29.23,6.2,26,7.3
2,7/31/2009,82,62,72,M,55,62,0,7, ,M,M,M,0,29.29,5.9,27,6.7
1,8/1/2009,75,61,68,-5,59,62,0,3,RA,0,M,0,0,29.18,11.6,22,11.4
2,8/1/2009,75,63,69,M,59,63,0,4, ,M,M,M,0.01,29.24,10.6,23,10.5
1,8/2/2009,78,57,68,-5,51,59,0,3, ,0,M,0,0,29.2,6.8,25,9.6
2,8/2/2009,79,58,69,M,52,59,0,4, ,M,M,M,0,29.26,6.2,26,8.4
1,8/3/2009,84,67,76,3,60,66,0,11, ,0,M,0,0.07,29.1,12.2,21,12.4
2,8/3/2009,86,68,77,M,61,66,0,12,RA,M,M,M,0.06,29.17,11,21,11.3
1,8/4/2009,85,67,76,3,61,67,0,11,BR,0,M,0,0,29.17,2.5,2,5.8
2,8/4/2009,86,69,78,M,63,68,0,13,BR HZ,M,M,M,0,29.21,1.8,5,6.2
1,8/5/2009,79,61,70,-3,54,61,0,5, ,0,M,0,0,29.34,2.9,6,4.2
2,8/5/2009,79,66,73,M,56,63,0,8, ,M,M,M,0,29.4,3.8,6,5.6
1,8/6/2009,82,60,71,-2,51,60,0,6, ,0,M,0,0,29.39,1.4,6,5.4
2,8/6/2009,81,62,72,M,51,60,0,7, ,M,M,M,0,29.44,3.4,9,5.5
1,8/7/2009,74,64,69,-4,59,63,0,4,RA BR,0,M,0,0.33,29.36,7.3,15,7.8
2,8/7/2009,74,67,71,M,59,63,0,6,RA BR,M,M,M,0.23,29.41,6.4,15,7.2
1,8/8/2009,89,68,79,6,70,73,0,14,RA BR,0,M,0,0.02,29.2,12.9,21,13.6
2,8/8/2009,89,69,79,M,70,73,0,14,TSRA RA BR,M,M,M,0.08,29.26,12.2,21,12.8
1,8/9/2009,91,77,84,11,71,74,0,19, ,0,M,0,0.18,29.23,11.6,23,12.9
2,8/9/2009,92,77,85,M,72,75,0,20, ,M,M,M,0.02,29.29,11.1,23,12.3
1,8/10/2009,85,70,78,5,65,69,0,13, ,0,M,0,0,29.24,6.9,26,7.2
2,8/10/2009,86,71,79,M,66,70,0,14, ,M,M,M,0,29.31,8.3,26,8.9
1,8/11/2009,82,62,72,-1,61,66,0,7, ,0,M,0,0,29.3,6.3,2,8
2,8/11/2009,81,65,73,M,62,66,0,8, ,M,M,M,0,29.36,6.1,2,8.7
1,8/12/2009,83,60,72,-1,55,62,0,7, ,0,M,0,0,29.39,3.7,4,5.9
2,8/12/2009,82,63,73,M,56,63,0,8, ,M,M,M,0,29.44,5.5,5,7
1,8/13/2009,86,60,73,0,55,63,0,8, ,0,M,0,0,29.38,1.5,14,3.8
2,8/13/2009,86,63,75,M,55,63,0,10, ,M,M,M,0,29.44,2,16,4
1,8/14/2009,88,63,76,4,59,66,0,11, ,0,M,0,0,29.38,5.4,21,5.7
2,8/14/2009,88,67,78,M,59,66,0,13, ,M,M,M,0,29.44,6.3,21,6.5
1,8/15/2009,89,67,78,6,61,67,0,13, ,0,M,0,0,29.32,8.7,19,8.9
2,8/15/2009,89,70,80,M,61,68,0,15, ,M,M,M,0,29.38,8.3,19,8.7
1,8/16/2009,88,70,79,7,67,70,0,14,TSRA,0,M,0,0.63,29.27,9.5,20,10.2
2,8/16/2009,90,71,81,M,68,71,0,16,TSRA RA,M,M,M,0.27,29.34,9.3,21,10.1
1,8/17/2009,83,70,77,5,68,70,0,12,TSRA RA BR,0,M,0,0.33,29.28,4.6,22,5.8
2,8/17/2009,83,71,77,M,68,71,0,12,RA BR,M,M,M,0.59,29.34,5.1,22,7.5
1,8/18/2009,83,65,74,2,59,65,0,9, ,0,M,0,0,29.28,7.5,27,8.1
2,8/18/2009,84,66,75,M,61,66,0,10, ,M,M,M,0,29.33,8,27,8.3
1,8/19/2009,83,59,71,0,60,65,0,6,RA,0,M,0,0.35,29.08,5.7,16,8.7
2,8/19/2009,81,64,73,M,62,66,0,8,TSRA BR,M,M,M,0.61,29.15,5.9,16,8.2
1,8/20/2009,78,64,71,0,61,65,0,6,RA,0,M,0,0.07,28.93,12.1,23,12.5
2,8/20/2009,79,64,72,M,61,65,0,7,RA BR,M,M,M,0.12,29,12.2,23,12.7
1,8/21/2009,73,59,66,-5,58,61,0,1,RA,0,M,0,0.16,29.07,7.7,27,10.7
2,8/21/2009,74,59,67,M,58,61,0,2,RA,M,M,M,0.05,29.13,10.1,27,13.2
1,8/22/2009,68,57,63,-8,52,56,2,0, ,0,M,0,0,29.31,7.8,1,9.4
2,8/22/2009,69,58,64,M,52,57,1,0, ,M,M,M,0,29.36,9.4,36,10.4
1,8/23/2009,74,56,65,-6,53,58,0,0, ,0,M,0,0,29.38,2.7,2,6.4
2,8/23/2009,73,58,66,M,55,59,0,1, ,M,M,M,0,29.44,3.5,5,7.6
1,8/24/2009,79,54,67,-4,56,61,0,2, ,0,M,0,0,29.41,3.8,21,5.1
2,8/24/2009,79,57,68,M,57,62,0,3, ,M,M,M,0,29.47,5,21,5.7
1,8/25/2009,83,59,71,1,61,65,0,6, ,0,M,0,0,29.33,9.1,21,9.2
2,8/25/2009,82,61,72,M,61,65,0,7, ,M,M,M,0,29.39,8.3,21,8.6
1,8/26/2009,73,62,68,-2,62,64,0,3,RA BR,0,M,0,0.93,29.36,5.2,2,7.8
2,8/26/2009,72,64,68,M,64,65,0,3,RA BR,M,M,M,0.54,29.42,3.9,2,7.3
1,8/27/2009,67,61,64,-6,60,61,1,0,RA BR,0,M,0,0.95,29.36,9.1,7,9.7
2,8/27/2009,67,62,65,M,61,63,0,0,RA BR,M,M,M,1.19,29.41,10.7,8,11
1,8/28/2009,68,60,64,-6,61,62,1,0,RA BR,0,M,0,0.22,29.18,3.4,2,5.7
2,8/28/2009,71,61,66,M,61,63,0,1,RA BR,M,M,M,0.28,29.24,2.6,2,5.4
1,8/29/2009,69,56,63,-7,51,56,2,0,RA DZ BR,0,M,0,0.02,29.18,11.4,31,11.8
2,8/29/2009,69,56,63,M,52,57,2,0,DZ,M,M,M,0.01,29.24,10.4,31,11.1
1,8/30/2009,66,51,59,-11,47,52,6,0, ,0,M,0,0,29.44,8.2,1,9.3
2,8/30/2009,66,51,59,M,47,53,6,0, ,M,M,M,0,29.5,9.4,1,10.5
1,8/31/2009,68,49,59,-10,44,52,6,0, ,0,M,0,0,29.55,4.8,3,6
2,8/31/2009,67,49,58,M,44,52,7,0, ,M,M,M,0,29.6,5.3,4,6.8
1,9/1/2009,72,47,60,-8,47,53,5,0, ,0,M,0,0,29.57,3.3,4,3.4
2,9/1/2009,71,50,61,M,49,55,4,0, ,M,M,M,0,29.63,3.2,6,3.5
1,9/2/2009,73,50,62,-6,50,56,3,0, ,0,M,0,0,29.51,4.1,6,5.1
2,9/2/2009,72,53,63,M,51,56,2,0, ,M,M,M,0,29.56,3.2,8,3.9
1,9/3/2009,75,56,66,-2,54,59,0,1, ,0,M,0,0,29.42,4.7,5,6
2,9/3/2009,75,57,66,M,55,60,0,1,BR,M,M,M,0,29.48,5.2,6,5.9
1,9/4/2009,75,54,65,-3,54,59,0,0,BR,0,M,0,0,29.44,3.6,4,4.1
2,9/4/2009,75,58,67,M,55,60,0,2,BR HZ,M,M,M,0,29.49,3.8,4,4.4
1,9/5/2009,78,54,66,-1,57,61,0,1,BR HZ,0,M,0,0,29.49,4.3,4,5.3
2,9/5/2009,78,57,68,M,57,62,0,3,BR HZ,M,M,M,0,29.54,5.2,6,5.8
1,9/6/2009,77,61,69,2,59,63,0,4,RA BR HZ,0,M,0,0.03,29.47,4.2,5,5.3
2,9/6/2009,77,66,72,M,59,64,0,7, ,M,M,M,0,29.52,6.3,8,6.6
1,9/7/2009,77,59,68,1,59,62,0,3,BR,0,M,0,0,29.39,5.8,3,4
2,9/7/2009,77,63,70,M,59,63,0,5,BR HZ,M,M,M,0,29.44,6.3,4,6.9
1,9/8/2009,78,60,69,3,60,63,0,4, ,0,M,0,0,29.36,6.6,3,7.3
2,9/8/2009,78,62,70,M,62,65,0,5,BR HZ,M,M,M,0,29.41,6.9,4,8
1,9/9/2009,78,65,72,6,63,65,0,7,BR HZ,0,M,0,0,29.42,6.1,6,6.9
2,9/9/2009,77,68,73,M,63,66,0,8,BR HZ,M,M,M,0,29.47,6.8,7,7.2
1,9/10/2009,81,64,73,7,62,65,0,8,BR HZ,0,M,0,0,29.48,6,6,6.8
2,9/10/2009,80,65,73,M,62,66,0,8,BR HZ,M,M,M,0,29.54,6.6,7,7.3
1,9/11/2009,80,61,71,6,59,63,0,6,BR,0,M,0,0,29.44,5.1,7,5.6
2,9/11/2009,78,64,71,M,59,64,0,6, ,M,M,M,0,29.49,6.4,8,6.7
1,9/12/2009,79,58,69,4,60,63,0,4,FG+ BR,0,M,0,0,29.41,3.7,3,4.8
2,9/12/2009,78,61,70,M,61,64,0,5,FG+ FG BR,M,M,M,0,29.47,3.2,6,4.5
